# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	1485.5763692220053	48.4319724342494	30.673464130307803	1450.143897937593	69.16980160068184	20.964985649507753	35.43247128441226	0.023850992798820705	1333.3912888299851	49.102650441545826	27.15517954407204	1297.3957202729725	61.66728614785408	21.038638171336487	35.995568557012575	0.026995503014421007
2	1938.2104181198847	59.125241783480035	32.78143749868661	1905.5154360816591	75.87406195568111	25.114187733809374	32.69498203822559	0.01686864425687103	1747.4062398274739	60.28036612807542	28.987983187010272	1713.9947384788877	68.30606427359044	25.092863374673737	33.41150134858617	0.0191206260954436
3	2573.038390531994	69.69136593510765	36.9204758151512	2517.015767996652	82.34641897483597	30.566183682690806	56.02262253534218	0.02177294467952307	2350.5738612583705	69.89378295686834	33.63065728905984	2293.5686192103794	75.18009710829921	30.507657045273888	57.00524204799103	0.024251627650395763
4	3476.9958141508555	75.39254884072786	46.118560356624336	3402.842708333333	96.38882691840439	35.30328998830878	74.15310581752237	0.021326774543624777	3223.383742559524	75.93451778105039	42.44951883218419	3147.8873122442337	88.89539548910747	35.41114019375672	75.49643031529013	0.023421483864450553
5	4877.744746326265	86.5202757054649	56.376897860696154	4767.324958147321	109.1849026792082	43.66285851949704	110.41978817894415	0.02263746750219109	4594.707462565104	86.78736312423592	52.942125410444724	4482.365513392857	103.11054112111157	43.47145757025909	112.34194917224704	0.024450294189029716
6	7199.195012555803	103.46879676447551	69.57841627310331	7041.8007300967265	130.69462897028563	53.879801990162356	157.39428245907675	0.021862761348257997	6889.750170898437	103.70859923305989	66.43374051765367	6729.486353701637	125.04066905907773	53.81838088631923	160.26381719680012	0.023261194269966017
7	11557.918319847471	125.52079017770816	92.07971287851323	11310.67455124628	136.6933890128178	82.7448542532344	247.24376860119082	0.02139172139472722	11233.817775762649	125.246975089586	89.69332606817356	10981.909840029763	132.8580130865303	82.65899500451852	251.90793573288647	0.02242407174134394
8	21485.895498511905	176.73714825603247	121.56977585372202	21116.78910435268	178.44642824114123	118.33685500175315	369.1063941592256	0.017179009093886248	21168.306794084823	177.09076425892738	119.53365768490494	20790.56232328869	176.32730448590223	117.90892161543218	377.7444707961331	0.017844812741550416
9	58594.5119233631	333.89958845319717	175.48542720523992	58587.78480282738	273.66460796776175	214.08608602296553	6.727120535717404	0.00011480803090425834	58318.28382626488	335.4966828257489	173.82670771905777	58289.333984375	271.55800226760726	214.64782292415632	28.94984188988019	0.000496411073688729
10	60179.644438244046	332.93524638432416	180.75480169731145	60202.64010416667	282.14719992725736	213.37316166769685	-22.99566592262272	-0.0003821170121106435	59993.81590401786	333.54734802803085	179.86596583276105	59993.99710751488	281.2805388851517	213.28883023795234	-0.18120349702076055	-3.020369587936565e-06
