# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	4237.203998093378	64.45705669078026	65.73685203189636	4312.227060081846	36.18790308842777	119.16211474161976	-75.02306198846782	-0.017705794203495058	3292.733591424851	63.88004987771583	51.545570138533996	3363.2168300083704	29.598933681559018	113.62628350708967	-70.48323858351932	-0.021405691236933446
2	5620.213860212054	69.82935379801098	80.48497593818689	5714.576867094494	42.48702730621092	134.5016874423482	-94.36300688244046	-0.016789931705353305	4479.426266043527	71.16042898220442	62.948275187657	4567.613596307664	34.72209059198219	131.5477702648005	-88.18733026413702	-0.019687193186467798
3	7435.054428245908	87.88276794429298	84.60196011303184	7569.841917782738	46.713850424541455	162.04705561599067	-134.78748953683044	-0.018128648665270062	6127.104664248512	88.1232474905458	69.52881150806263	6253.4446277436755	38.58206105604593	162.08166325432066	-126.33996349516383	-0.020619847451334408
4	9887.433726283482	98.25556889956853	100.62975398768364	10078.566868954613	49.55349120723619	203.38762463385953	-191.13314267113128	-0.019330915176002397	8450.93539109003	98.84978095453675	85.49270731289538	8630.416915457588	42.419666578438175	203.4532001683486	-179.48152436755845	-0.02123806609109673
5	13317.14968610491	107.31484647772038	124.09419687209525	13575.868815104166	59.426423606090594	228.4483566618803	-258.7191289992552	-0.019427515278979124	11803.272853887649	109.16325969036382	108.12495786006252	12045.718698846726	55.6182275834252	216.57861500132506	-242.44584495907657	-0.02054056090715738
6	18252.211848958334	146.21468650698395	124.83159034839169	18584.59130859375	72.58056370491961	256.0546565076355	-332.3794596354164	-0.018210366085269034	16743.311067708335	148.96489228917713	112.39769861482188	17052.607682291666	67.5247502684985	252.53862642194787	-309.29661458333067	-0.018472846459852834
7	25628.120619419642	162.78897755770748	157.43154729462358	26069.6828125	85.953086800768	303.3012982177978	-441.56219308035725	-0.017229597114732036	24227.259877232143	164.63106800399353	147.1609227284151	24635.42298642113	81.7964212588872	301.1797167561837	-408.1631091889867	-0.0168472667258819
8	37531.18452380953	206.85125288413926	181.44045056778725	38012.310807291666	112.54631907002971	337.7481477971684	-481.1262834821391	-0.012819373797725886	36349.89838169643	207.02252870359584	175.58426423116654	36780.920247395836	106.30886386609136	345.9816887303562	-431.02186569940386	-0.011857581035671888
9	59895.9365234375	296.5619166664329	201.96772801009135	60025.090373883926	152.13743383569746	394.54517445528035	-129.15385044642608	-0.0021563040490382465	58994.958556547615	296.56022961322753	198.9307825715153	59042.818033854164	149.45773065089918	395.04693251207846	-47.8594773065488	-0.0008112469010495994
10	60690.44934895833	286.6729710431406	211.70621397657055	60766.153999255956	152.55254450155905	398.3293375918416	-75.70465029762272	-0.0012473898465034528	60009.86120721726	287.937837428418	208.412557874183	60002.87528831845	149.49760069603445	401.36346676438717	6.985918898812088	0.00011641284879312312
