# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	3859.0169270833335	61.053388632547936	63.20725210371154	3842.587066941034	39.863804174328685	96.39288438546882	16.429860142299276	0.004257524766733028	3230.7117059616817	60.82725780419091	53.112894162706944	3211.607997930618	32.81050083075716	97.88354083641413	19.10370803106389	0.005913157771339214
2	5419.013882300967	73.94959307407977	73.27983369526339	5389.327575102307	48.86790957793554	110.28357099063746	29.68630719866087	0.005478175152054744	4653.168386114211	74.53080947701667	62.43281696207962	4619.631888253348	41.10641616438941	112.38225852088138	33.536497860863165	0.00720723925679143
3	7578.61654343378	87.9907863074716	86.12966040502646	7541.178564453125	58.253738287946234	129.45398503315508	37.437978980655316	0.004939948969062448	6696.670884486607	87.86484661198952	76.21558726505326	6653.691069103423	52.195639584534284	127.47599458623992	42.97981538318436	0.0064180868560751074
4	10606.128308686755	103.0767241739675	102.89547318933309	10573.914171781995	69.8337073152611	151.41562117054076	32.21413690476038	0.0030373135198049584	9633.744989304316	103.81087499472754	92.80092273370786	9593.55504092262	63.44179989326155	151.21820403997705	40.18994838169601	0.0041717886892704914
5	14902.912413969494	128.89065277679205	115.62446223139077	14860.812404668899	81.40197245261514	182.5608392145475	42.10000930059505	0.002824951803456343	13876.949762834822	129.15230389654053	107.44639734767077	13823.360332961309	75.53495914446988	183.00612709040374	53.58942987351293	0.0038617585845151558
6	20994.300655691964	159.2122236799022	131.86362309656084	20966.635909598215	105.1283331312619	199.4384889886872	27.664746093749272	0.0013177264890816365	19973.38676060268	159.26280451359807	125.4114971892092	19929.179961867558	100.75695031162162	197.79459283186407	44.20679873512199	0.0022132850710285894
7	29707.746010044644	201.87229633330543	147.16108425791649	29670.00812406994	134.91792225961504	219.91154049183768	37.73788597470411	0.0012703045852736304	28776.15173921131	201.91883418057301	142.51346020291115	28714.580915178572	130.39427148033738	220.21351543429228	61.57082403273671	0.0021396476009277617
8	42183.735649181544	256.57745104057364	164.40936441648125	42177.787806919645	173.039395892531	243.74673518344264	5.9478422618994955	0.0001409984718130315	41427.25314360119	257.6419088994413	160.79392254375207	41386.98703497024	168.33567164521335	245.85987408656936	40.26610863095266	0.0009719714819463505
9	60181.07931547619	312.5640885444523	192.539967069561	60237.230171130956	225.61721839990932	266.98862169446534	-56.15085565476329	-0.0009330317151743657	59636.46808035715	310.8827189247777	191.82947282054297	59643.20611979167	223.70418842013385	266.61640330031327	-6.738039434523671	-0.00011298521947081945
10	60408.43735119048	326.71843464202703	184.8944869528948	60441.20152529762	231.6001577693467	260.9721949563252	-32.764174107142026	-0.0005423774483134571	60011.84881882441	326.82428293050367	183.62114430642046	59994.89295014881	230.38308776462154	260.41361600051374	16.95586867559905	0.0002825420147742618
