# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	12142.926392764137	218.9545449850906	55.45866332023842	12130.114736793155	79.73667255928453	152.12717495546818	12.81165597098152	0.0010550715335486075	10557.660042317708	220.4722313262113	47.88657500679333	10529.480338541667	75.859196977211	138.80295017761455	28.179703776040697	0.002669123997466246
2	14829.422935267858	246.9272555702296	60.05583669175054	14807.552494884672	88.95134964687593	166.46799125216793	21.87044038318527	0.0014748005015874364	13037.724330357143	251.40683593370895	51.859068517114366	12996.875839378721	86.62981103127838	150.0277523944511	40.84849097842198	0.0031330997606162005
3	18007.920103236607	271.4795252987876	66.33251654399083	18004.213871837797	94.15990210259653	191.20892725887103	3.706231398809905	0.00020581118627596392	16098.799609375	272.98290350681316	58.97365513578107	16071.659233165923	89.70811584436176	179.15501938586354	27.140376209077658	0.0016858633480519062
4	21864.476102120534	317.1773417470559	68.93454614912916	21880.767275855655	102.67333512649554	213.11051451575156	-16.291173735120537	-0.0007450978317079609	19913.649869791665	323.9103504605069	61.47889328476293	19900.953408668156	101.39068665665259	196.27989576656432	12.696461123508925	0.0006375757938161316
5	26660.458723958334	364.8995610575289	73.06245764366686	26673.517912946427	116.7941341975026	228.38062969704163	-13.059188988092501	-0.0004898336192676574	24723.21312779018	365.7939100984405	67.58782047830375	24700.283761160714	115.45120194084133	213.9456614216754	22.92936662946522	0.0009274428251274273
6	32551.558072916665	405.83569540953704	80.20871116343827	32593.59234095982	127.88481281114112	254.8667947701787	-42.03426804315677	-0.0012913135509212339	30706.977390252978	409.5255662638644	74.98183244185527	30704.312332589285	125.48731198609607	244.6806122996029	2.6650576636930055	8.678997056020725e-05
7	39933.67422805059	478.01896423060936	83.53993714940879	39937.94787016369	149.68233326597604	266.8180472520861	-4.273642113097594	-0.00010701850495128399	38262.647451636905	480.32647982476783	79.65966703646204	38211.223958333336	150.21279462217328	254.38062086818326	51.42349330356956	0.001343960669960636
8	49147.255143229166	546.9536138025505	89.85634961170813	49169.38498883929	158.39290374936047	310.42669100027666	-22.129845610121265	-0.0004502763286704123	47726.97315848214	550.4615193380962	86.7035596164316	47679.62869233631	161.43234184475878	295.35363327744676	47.3444661458343	0.000991985517049705
9	60761.94642857143	631.3321956212353	96.2440167791241	60846.128125	183.1951350194581	332.1383404561329	-84.18169642857538	-0.0013854344927467883	59605.541629464286	636.0079792317506	93.71822929244262	59602.95717075893	189.0856926999422	315.2166423577174	2.5844587053579744	4.335936952681631e-05
10	60998.44302455357	632.2004037575736	96.48592861061239	61046.04840959822	185.57888049525909	328.9493300459787	-47.605385044647846	-0.0007804360682695681	60032.13684895833	636.3961477015706	94.33139572854485	59992.355478050595	191.1550485016142	313.8413342901796	39.781370907738165	0.0006626679141511926
