# Mean vertical grey value profiles
# pos [px]	central	right
0	60285.809375	60170.176171875
1	60286.27265625	60168.105078125
2	60290.75390625	60172.67734375
3	60292.63671875	60169.461328125
4	60298.291015625	60172.234375
5	60304.436328125	60174.748046875
6	60302.405859375	60171.87734375
7	60308.61484375	60176.86328125
8	60308.753125	60174.66171875
9	60312.018359375	60177.257421875
10	60320.92890625	60176.231640625
11	60319.709375	60182.46640625
12	60328.3875	60177.08046875
13	60325.879296875	60180.389453125
14	60328.815234375	60179.40703125
15	60339.878515625	60178.343359375
16	60343.45	60183.995703125
17	60344.734765625	60179.810546875
18	60345.6296875	60183.787890625
19	60352.853125	60185.51484375
20	60358.5984375	60181.488671875
21	60363.810546875	60181.726171875
22	60370.7796875	60183.675390625
23	60370.539453125	60186.275390625
24	60372.528515625	60187.64375
25	60383.67734375	60191.305859375
26	60388.278125	60188.12109375
27	60395.884375	60185.005078125
28	60401.9046875	60188.62734375
29	60406.402734375	60184.149609375
30	60411.836328125	60189.302734375
31	60419.433203125	60190.898046875
32	60425.71640625	60191.283203125
33	60436.81953125	60192.07109375
34	60441.606640625	60191.36796875
35	60447.41796875	60194.840625
36	60446.522265625	60197.891015625
37	60461.139453125	60196.344921875
38	60469.3078125	60194.55546875
39	60473.65546875	60198.582421875
40	60478.57578125	60195.2984375
41	60484.948046875	60200.46953125
42	60488.593359375	60198.316796875
43	60496.677734375	60198.998828125
44	60496.735546875	60198.1875
45	60502.091796875	60208.334765625
46	60509.266015625	60200.287890625
47	60509.484375	60200.00234375
48	60515.2171875	60199.487890625
49	60516.466015625	60204.304296875
50	60518.57421875	60202.165234375
51	60525.581640625	60205.6609375
52	60527.1171875	60204.77890625
53	60530.31640625	60205.75390625
54	60529.3828125	60207.178515625
55	60537.41953125	60205.30078125
56	60542.69453125	60204.935546875
57	60535.626953125	60206.609765625
58	60539.133203125	60206.515234375
59	60537.825	60204.653515625
60	60543.679296875	60206.836328125
61	60541.696484375	60210.006640625
62	60541.71484375	60204.169921875
63	60544.284765625	60206.71171875
64	60550.4234375	60212.934375
65	60544.26953125	60207.22421875
66	60541.310546875	60213.221875
67	60542.539453125	60210.463671875
68	60547.473828125	60211.446484375
69	60545.562890625	60208.340625
70	60548.83515625	60207.76328125
71	60544.581640625	60209.0859375
72	60548.7859375	60213.026171875
73	60543.270703125	60213.7296875
74	60542.983984375	60206.739453125
75	60540.21328125	60211.82734375
76	60541.119921875	60212.137890625
77	60537.96484375	60214.637109375
78	60539.153515625	60211.48046875
79	60539.452734375	60214.377734375
80	60534.28046875	60210.640234375
81	60530.8078125	60214.059765625
82	60530.02734375	60214.543359375
83	60529.214453125	60215.702734375
84	60528.744921875	60212.767578125
85	60527.125	60211.054296875
86	60519.162890625	60212.366796875
87	60517.341015625	60212.782421875
88	60517.01875	60212.323828125
89	60515.0046875	60213.1859375
90	60513.21796875	60212.515234375
91	60515.335546875	60211.708203125
92	60508.141796875	60210.619140625
93	60505.119921875	60215.9203125
94	60505.05234375	60214.9640625
95	60502.1875	60211.800390625
96	60499.41875	60213.55859375
97	60498.4453125	60213.807421875
98	60499.622265625	60210.737890625
99	60493.50859375	60211.463671875
100	60490.181640625	60211.464453125
101	60484.73125	60212.01171875
102	60487.95703125	60214.315625
103	60481.771875	60214.6296875
104	60475.068359375	60210.6375
105	60481.55234375	60210.712890625
106	60473.55	60214.457421875
107	60473.19375	60211.46328125
108	60471.268359375	60214.2046875
109	60467.9125	60213.038671875
110	60461.260546875	60209.808203125
111	60462.440625	60210.156640625
112	60459.89921875	60210.13828125
113	60458.212109375	60210.5234375
114	60456.480078125	60213.210546875
115	60450.7421875	60209.171875
116	60444.94140625	60206.63125
117	60444.358203125	60209.35703125
118	60440.333984375	60207.369921875
119	60441.930078125	60205.626953125
120	60434.226953125	60210.2828125
121	60433.819921875	60209.15
122	60427.895703125	60204.62734375
123	60427.755859375	60208.99140625
124	60423.895703125	60204.528125
125	60422.10703125	60209.161328125
126	60418.3375	60202.720703125
127	60420.25	60206.74609375
128	60418.908203125	60205.71875
129	60410.247265625	60205.928125
130	60407.61328125	60204.2
131	60404.79921875	60206.24140625
132	60401.21328125	60200.696484375
133	60401.075390625	60197.139453125
134	60397.61328125	60204.478515625
135	60395.950390625	60201.35546875
136	60392.29296875	60197.198046875
137	60391.829296875	60200.305078125
138	60386.727734375	60200.531640625
139	60384.461328125	60198.3875
140	60379.04453125	60198.216796875
141	60381.672265625	60196.557421875
142	60378.39296875	60200.388671875
143	60371.203125	60198.7515625
144	60371.503515625	60196.967578125
145	60367.83203125	60197.80234375
146	60361.446875	60191.93125
147	60361.70625	60198.26328125
148	60362.00625	60193.941015625
149	60354.71796875	60194.4453125
150	60349.427734375	60192.92265625
151	60348.526953125	60190.36640625
152	60349.4390625	60189.971875
153	60345.73203125	60190.212109375
154	60344.498046875	60194.716015625
155	60340.293359375	60192.451171875
156	60339.891796875	60191.183203125
157	60334.106640625	60189.171875
158	60337.23984375	60190.62734375
159	60333.583203125	60190.374609375
160	60327.968359375	60189.59609375
161	60324.692578125	60186.954296875
162	60323.496484375	60184.651953125
163	60318.259765625	60186.36015625
164	60317.262890625	60180.390625
165	60317.220703125	60185.4640625
166	60312.7046875	60180.991796875
167	60316.421484375	60179.990625
168	60310.935546875	60180.998828125
169	60308.25390625	60183.268359375
170	60303.775	60180.955859375
171	60298.237109375	60173.79140625
172	60293.86875	60178.5796875
173	60296.165234375	60173.798828125
174	60291.1734375	60173.972265625
175	60287.824609375	60172.66328125
176	60284.716015625	60176.32421875
177	60284.9296875	60168.828125
178	60278.75703125	60174.27265625
179	60276.475390625	60173.532421875
180	60274.209765625	60174.676953125
181	60274.7421875	60172.25234375
182	60274.46328125	60167.797265625
183	60267.48203125	60170.600390625
184	60260.82109375	60170.034375
185	60264.530859375	60165.672265625
186	60258.401171875	60166.57265625
187	60262.19375	60163.580859375
188	60256.685546875	60165.831640625
189	60258.669921875	60162.912890625
190	60254.225	60166.619140625
191	60252.088671875	60163.237890625
192	60247.735546875	60164.927734375
193	60248.68828125	60165.11640625
194	60243.75078125	60157.203125
