# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	3853.1761654808406	49.66841966482628	77.57799002833076	3832.211086890811	21.851246374080635	175.3772311787431	20.965078590029407	0.005440986264227335	3226.636321730841	49.882369267239326	64.68490509030336	3203.238936360677	17.348603085732016	184.639588589995	23.397385370163647	0.007251323991051077
2	5410.736707124256	57.49602616115988	94.10627252669777	5385.662434895833	24.396779463323174	220.7530072972276	25.07427222842307	0.004634169723211269	4645.999350120907	57.553106150033486	80.72543188215401	4617.422788783482	21.00725021715076	219.80138957043133	28.57656133742512	0.006150788922663419
3	7570.545682198661	66.15835919057788	114.43067474498129	7539.56559593564	27.506718711083497	274.09905467560054	30.980086263020894	0.004092186688189108	6689.36999046689	66.85440564719924	100.05877586838034	6653.347228422619	24.976453602364064	266.3847852199829	36.022762044271076	0.005385075439930455
4	10613.347321428571	78.60664439295219	135.01845045531743	10567.003352864584	33.97489184014573	311.0238997252171	46.3439685639878	0.004366574197606664	9641.666529482887	79.88096987939466	120.70041893632492	9588.05435500372	31.520472336773015	304.18498341529994	53.61217447916715	0.005560467613687791
5	14911.561981491815	99.00469325968372	150.61469805658234	14856.69370814732	42.61207578877173	348.64984709480063	54.86827334449481	0.003679579202540763	13887.737944103423	99.14666878946669	140.0726631934895	13822.400474330358	40.320777112629685	342.8108648729581	65.3374697730651	0.004704687691835851
6	21002.26127232143	131.58299255018846	159.6122786484791	20954.319387090774	50.931742744084445	411.41964241002825	47.941885230655316	0.002282701115324054	19984.136453683037	131.6221500777119	151.82958523230377	19921.12914341518	49.505821671634706	402.3997273603352	63.007310267857974	0.0031528662954183268
7	29698.27518136161	169.3918297727771	175.3229492898152	29663.560737537202	61.32114390517594	483.7411510686673	34.71444382440677	0.0011689043761771481	28768.060425967262	169.92849701029618	169.29509135965682	28711.65871000744	59.423692536130005	483.1685390898682	56.40171595982247	0.0019605672097696204
8	42191.53457961309	213.04303203176377	198.04231181483806	42170.69462425595	82.33930651123943	512.1575151777553	20.83995535714348	0.0004939368895866928	41437.96304873512	212.23666784404895	195.24412755661828	41385.884737723216	79.68665799100391	519.3577667969888	52.07831101190095	0.0012567777752649602
9	60198.37848772322	289.5137347796199	207.92926640785004	60235.239787946426	109.35932847135294	550.8011125335802	-36.86130022320867	-0.0006123304505739489	59658.37462797619	290.5350469537107	205.3396836405806	59650.2609375	107.43395065906462	555.2272868266441	8.113690476187912	0.00013600253990800278
10	60400.535063244046	282.87599690719287	213.52301264027184	60433.19733072917	109.24591708957558	553.1849513531687	-32.662267485124175	-0.0005407612275441641	60008.175957961306	283.3289293190418	211.79685428588644	59995.59946056548	108.36233759175937	553.6573019178571	12.576497395828483	0.00020957973134592427
