# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	1728.5045116606213	44.35139644817428	38.972944486210764	1737.9653849283854	25.333107343253275	68.60450877105849	-9.4608732677641	-0.005473444358368947	1018.0032111758278	42.96470923361522	23.693939266307215	1025.832731701079	15.529412870843815	66.0574060483034	-7.829520525251155	-0.0076910568054179285
2	2573.6936331612724	50.668978344604774	50.794267365276745	2582.578839401972	32.18738860533136	80.2357367684748	-8.885206240699517	-0.0034523169837374166	1691.122249639602	50.2081269975383	33.682241317675874	1697.3000799269903	20.70915320155025	81.95893204363051	-6.17783028738836	-0.0036530950312462203
3	3873.643597702753	63.08754998543933	61.401078320473594	3879.381387765067	34.764141411481226	111.59146264673345	-5.737790062313707	-0.001481238507775077	2810.1332740420385	62.6456224277971	44.85761598555251	2811.3757341657365	25.186174198475168	111.62377072481075	-1.242460123698038	-0.0004421356578262598
4	5907.128960890997	78.74094976330063	75.01978295471584	5912.187412806919	46.65954695727095	126.70906166793856	-5.058451915921978	-0.0008563300292599318	4670.427163550968	77.67192523544777	60.13018409667907	4668.0161365327385	38.15094728060867	122.35649359368315	2.411027018229106	0.0005162326557718932
5	9136.327192615327	92.1527238022865	99.14332225510013	9127.828836495535	56.69397101614618	161.00175508778477	8.498356119791424	0.0009301720418529276	7768.596422758556	94.10554597761633	82.55195102535585	7747.680228097098	49.14906637290508	157.63636626001593	20.916194661458576	0.0026924033021181746
6	14319.691987537202	131.24130541138095	109.10964305522239	14320.425953311013	75.58127518718761	189.47055230074474	-0.7339657738102687	-5.125569561475611e-05	12900.664299665179	131.46585883110174	98.12938822572225	12880.771207682292	69.51006784938049	185.30799359300426	19.8930919828872	0.0015420207456606325
7	22753.554561941964	167.80685005511108	135.59371714843135	22774.241727120534	97.82001152914717	232.8178188809	-20.687165178569558	-0.0009091838869506266	21405.802878534225	167.88461082284445	127.50306757491967	21392.256496465772	92.56692375671454	231.1004366169621	13.546382068452658	0.0006328369062034572
8	36719.22311197917	246.82088848690753	148.76870161630148	36761.34659598214	136.51988880485445	269.27465966903833	-42.12348400297196	-0.0011471779747221755	35576.64604724702	245.8887516086137	144.68594360052353	35561.87007998512	131.81683210477283	269.7824664130849	14.775967261899495	0.0004153277192649498
9	59950.32956659226	325.47634222598373	184.19258726020627	60049.32992931548	196.75178358088306	305.20348449410466	-99.0003627232145	-0.0016513731190292427	59103.56749441964	325.7565589149064	181.4347735354688	59108.02918526786	194.63689530188506	303.6835801022736	-4.461690848213038	-7.548936616447554e-05
10	60625.999972098216	355.629355233011	170.47524080900357	60720.242261904765	213.83415806658866	283.9595077368148	-94.2422898065488	-0.001554486356512416	60010.88918340774	355.8281772079642	168.65131270459872	60009.14413132441	210.96820654825453	284.44638703224973	1.7450520833299379	2.9078923959893982e-05
