# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	7878.753023856027	97.28555058487345	80.98585017497001	7883.729525902158	36.63851658646277	215.1760022078799	-4.976502046130918	-0.0006316357462992682	6588.540059988839	96.4501848682025	68.31028959656183	6584.202785528274	31.111299613185302	211.63380724660627	4.337274460564913	0.000658305849410326
2	9899.174362909227	100.55466854866302	98.44569631412551	9899.094735863095	39.679355786137585	249.47720394496554	0.07962704613237293	8.043806807840857e-06	8392.793803478422	101.60163714436338	82.60490715866418	8380.849927920386	34.44271644275182	243.3272050957544	11.94387555803587	0.0014231108064498964
3	12389.999051339286	109.48568942692151	113.16546588135837	12403.058954148066	43.58791932125154	284.55267301783965	-13.059902808779952	-0.0010540681040139591	10729.830471075149	110.90969261397545	96.74384824436083	10727.722295851934	39.375602407707106	272.44592183692316	2.1081752232148574	0.0001964779619676148
4	15596.183991350446	127.97535193395092	121.86865482815597	15587.108368210565	49.12263387652066	317.31011019058565	9.075623139880918	0.0005819130593043918	13838.218336123511	129.18585797736506	107.11867810289371	13809.580794270832	46.71190731698031	295.6329892624807	28.637541852678623	0.002069452956810395
5	19744.47039155506	145.88039741121864	135.34697424697757	19736.87749720982	51.72886046667553	381.54479567406287	7.5928943452381645	0.0003845580152145146	17952.819791666665	145.8576451500818	123.08453062706393	17919.848493303572	49.419249526200595	362.60867303950073	32.9712983630925	0.0018365526277045966
6	25242.65844029018	174.2477271681347	144.86650041600308	25257.803762090774	57.48097159403486	439.41156632627144	-15.145321800595411	-0.0005999891745324946	23501.870145089284	175.3023147804807	134.06480213634995	23483.792508370534	53.82445830523935	436.3033692822987	18.07763671875	0.0007691999235442683
7	32773.013411458334	194.64903052982945	168.36977467727976	32789.096772693454	69.05134038256229	474.8509817627489	-16.08336123511981	-0.0004907501496184245	31188.66857328869	194.10368038160803	160.6804595975292	31160.662797619047	65.07457711558114	478.84541365937037	28.00577566964421	0.0008979471375584641
8	43520.88918340774	248.1228107302127	175.40059720961565	43575.04641927083	74.7329155373565	583.0770297927038	-54.157235863094684	-0.0012443963549288427	42196.74036458333	248.12415264818418	170.06301044950746	42191.246707589286	71.50200028636945	590.0708586978129	5.493656994047342	0.00013019150167955368
9	60357.13987165179	302.45277413868365	199.55888995739954	60437.21548549107	90.58650992750209	667.1767742664994	-80.0756138392826	-0.0013266966262742359	59340.530245535716	300.1634496878134	197.69405737858207	59336.7193359375	88.44913798835343	670.856954465183	3.8109095982144936	6.422102368222761e-05
10	60790.99069010417	308.3595649963091	197.1431977173525	60884.63276599703	93.55749602964129	650.7723629831574	-93.64207589285797	-0.0015403939766374206	59987.25818452381	309.1197968591746	194.05828676787127	59996.09947916667	91.93182514518092	652.6151241359497	-8.841294642857974	-0.00014738621017919688
