# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	1707.7668160574776	34.89892661388092	48.93465162846068	1716.9109880719866	17.8800102183942	96.02404960069323	-9.144172014508968	-0.005354461703161005	1006.9771509079706	34.32118629110429	29.33981192744987	1014.6152605329241	10.011218858011626	101.34782536703443	-7.638109624953586	-0.0075851866331489845
2	2559.562890625	39.014109663130554	65.60608233087169	2562.8492629278276	19.61582897223887	130.65210073736253	-3.286372302827658	-0.0012839584113618651	1683.8965767996651	37.38218823360699	45.04542554536238	1684.6644708542597	12.403096845084514	135.82611600117522	-0.7678940545945352	-0.0004560221008667638
3	3860.571989513579	48.846312627935966	79.03507515336291	3866.1361537388393	22.87297919418585	169.02634855373734	-5.564164225260356	-0.0014412797482793282	2801.563307407924	48.55787896681318	57.6953393973952	2802.937459309896	15.497202438988248	180.86731914001433	-1.3741519019717998	-0.000490494681429562
4	5892.852692522321	63.811461646259346	92.34787200439817	5895.7870582217265	25.845716167053315	228.1146716970199	-2.9343656994051344	-0.0004979533432302948	4660.445563616071	64.1282899660286	72.67378509679428	4656.4095493861605	20.826729741187954	223.5785265978373	4.036014229910506	0.0008660146706614327
5	9112.716615513393	77.33434027867423	117.83531847140256	9116.968961588542	31.31178122705295	291.1673690959365	-4.252346075149035	-0.0004666386824659823	7748.896692475819	78.60211054943586	98.58382476386868	7741.559601702009	27.663661631148713	279.8458029498587	7.337090773809905	0.0009468561867567834
6	14294.995982142857	95.67841702246332	149.4066940800942	14298.919349888392	38.89940451434364	367.58710135564814	-3.92336774553587	-0.00027445742205432555	12882.663199869792	97.09702174918938	132.67825282166643	12867.318956938245	35.79349902634497	359.4875971043668	15.344242931547342	0.0011910769297843965
7	22741.849720982143	136.98861344044397	166.012700981671	22767.687044270835	55.624957055034635	409.3070493833329	-25.83732328869155	-0.0011361135354286266	21401.368559337796	137.18351031394377	156.00540116199733	21395.197144717262	53.20831551095921	402.1025085883528	6.171414620534051	0.00028836541940872065
8	36712.85341331845	203.00297224974517	180.84884672600913	36750.36891741071	73.56230966687221	499.58149878429856	-37.515504092261835	-0.001021862933668136	35580.07470238095	202.53646040378683	175.67244253921854	35564.376525297615	70.78148541142008	502.4530965771391	15.698177083337214	0.0004412069736966213
9	59951.149693080355	269.53170449231703	222.42707887000824	60024.79965587798	105.5142580415903	568.8785645653514	-73.64996279762272	-0.0012284995896604716	59121.62653459822	270.5481086498523	218.52537365587122	59106.85230654762	103.0041749258476	573.8296758272028	14.77422805059905	0.00024989549368965874
10	60593.457273065476	269.55863855089297	224.7876662339848	60689.446261160716	110.71355259278101	548.1663702400054	-95.98898809523962	-0.0015841477350048466	59995.64679129465	270.2388326815561	222.00971709344336	60001.90569196428	108.97245259578372	550.6153551901045	-6.258900669636205	-0.00010432258012666963
