# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	3863.689590890067	128.7246256353895	30.015155000985654	3858.3832077752977	177.4557011335464	21.742796557838542	5.306383114769233	0.0013733978856067515	3231.645935639881	134.39824439151818	24.04529873340986	3223.8401698521207	149.2315440383116	21.602940521907872	7.805765787760265	0.002415414913396039
2	5422.303578404018	136.4189521687557	39.74743605783169	5394.913396344866	221.4704258213767	24.35952058310505	27.39018205915181	0.005051392210543428	4654.220808919271	141.27136528954014	32.94525255971228	4623.237126232329	189.87178454477532	24.34925830247349	30.983682686942302	0.0066571148982802215
3	7583.771412295387	181.2715340908334	41.83652690055148	7556.277575102306	258.5469787636669	29.225936467079595	27.493837193080253	0.0036253515168594287	6698.9516299293155	185.12784088464633	36.18554398905052	6666.281871977307	227.70188716326757	29.276357587662094	32.669757952008695	0.004876846371908109
4	10618.746828497024	207.54180630846466	51.164375107705396	10588.75833798363	320.716891738544	33.015904714541314	29.988490513393117	0.002824108249093428	9642.359963262648	206.74229558848847	46.639512905744965	9604.918391927084	291.202476315108	32.983642561932314	37.44157133556473	0.0038830298265380013
5	14929.612151227679	270.45490825501986	55.20185323148253	14858.560309709821	396.85473725946497	37.44080368630007	71.05184151785761	0.004759121723869762	13901.512039620537	275.48142816816363	50.46261060885222	13819.723560732888	369.8967587098025	37.361029085348015	81.78847888764903	0.00588342323155529
6	20989.175809151784	352.01352083512865	59.62605004306756	20975.460309709822	445.3391128254165	47.09997326898323	13.715499441961583	0.0006534558367928528	19964.095596168154	353.7455558239881	56.43631493734331	19934.933742559522	423.00742701387304	47.12667548956707	29.161853608631645	0.0014607149854676553
7	29710.13155691964	418.6077111565395	70.97368434717978	29619.212676711308	585.7668824972828	50.56484680464792	90.91888020833358	0.003060197832990009	28773.08913690476	420.0671811441155	68.49639873921349	28659.930450148808	565.8103112769992	50.652895288290345	113.15868675595266	0.003932795891936878
8	42216.019624255954	546.5513255268135	77.24072315361143	42249.17406063988	717.743231028981	58.86391154127645	-33.15443638392753	-0.0007853520222659284	41449.40212983631	547.5290056820971	75.70265994985917	41450.46775483631	702.8516404963324	58.974704427758404	-1.0656250000029104	-2.5709055987464946e-05
9	60177.56796875	650.6390231389838	92.48994577427213	60305.74193638393	947.8637350256939	63.62279693583721	-128.17396763392753	-0.002129929340123679	59620.06636904762	651.4064412693109	91.52514097477109	59702.0599609375	936.938443181024	63.720365404413855	-81.99359188987728	-0.0013752683766290658
10	60378.50867745536	660.3918406505607	91.42830810564784	60432.16372767857	989.2164579759544	61.09094045132389	-53.65505022321304	-0.0008886448406640958	59969.50280877976	660.6634289505737	90.77163981066413	59976.72971540179	982.0013613297951	61.07601483788495	-7.226906622025126	-0.00012050969715505261
