# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	1711.3428286597841	36.4627905188176	46.93395114059084	1722.8973208472842	18.027621811663288	95.56986156280611	-11.554492187500045	-0.006751710992091979	1007.6073961530413	35.60920868620645	28.296259123088774	1017.5028020949591	10.415632861195649	97.6899642733909	-9.895405941917716	-0.009820696016819177
2	2560.2958740234376	43.52691685567824	58.82097926927802	2568.281511579241	22.032254512042527	116.56916500194991	-7.9856375558033506	-0.003119029185972218	1684.302333577474	43.13404599950779	39.04809517745434	1689.5160194033667	13.682689955495325	123.47835293343127	-5.213685825892753	-0.003095457224012055
3	3869.5565790085566	52.210533186022026	74.11448117608052	3870.249640764509	24.79974104363607	156.06008280306878	-0.6930617559523853	-0.0001791062468790569	2809.697234235491	51.37053762622956	54.694721217028345	2805.7677379789807	17.98985112842206	155.96392198855747	3.929496256510447	0.001398547932008642
4	5896.160675920759	65.4561712333654	90.0779951656456	5897.692052641369	28.85379317937182	204.39919340857244	-1.5313767206098419	-0.0002597243875771242	4664.1282180059525	65.6297362313795	71.06730098019038	4657.986045619419	22.228880498607655	209.5465871936817	6.142172386533275	0.0013168961270878673
5	9117.597021484375	81.1762767156118	112.3184924263825	9118.191317894345	35.1067772748548	259.7273810269461	-0.5942964099704113	-6.518125428992231e-05	7753.632388160342	82.94116814451732	93.48352044729289	7741.470452008929	30.50586077041038	253.76993982473968	12.161936151413101	0.0015685469135710071
6	14289.277820405507	104.85198225834864	136.2804737939778	14305.443942987351	42.92494548943101	333.2664440193556	-16.16612258184432	-0.0011313463692866706	12876.362495349702	105.09313443678542	122.52334621435203	12871.34273390997	39.74924826590417	323.81348818993035	5.019761439731155	0.0003898431285655434
7	22735.801585751487	134.80101578776123	168.66194555646445	22765.312253534226	62.69921971754292	363.0876485559295	-29.510667782738892	-0.0012979822889215048	21395.784514508927	135.7523087440319	157.6089917914531	21390.091610863095	59.652628281104334	358.57752168211937	5.692903645831393	0.00026607594790323844
8	36700.35191592262	187.69055241247239	195.53649048498306	36750.0734375	85.45789789834149	430.0371801938885	-49.7215215773831	-0.001354796861111601	35568.41988467262	186.7046815640766	190.5063096795761	35559.61885230655	81.73046486509374	435.08401562382045	8.801032366071013	0.00024743950939084625
9	59967.307710193454	281.8187417991406	212.78679809355506	60022.755850074405	122.94640010234596	488.2026297647498	-55.4481398809512	-0.0009246394743769018	59139.279743303574	282.5957675405618	209.27164004611336	59097.42634858631	119.2143634831258	495.72404383093703	41.853394717261835	0.0007077089017473358
10	60601.2576171875	291.16099073181607	208.13659640623487	60698.82405133929	123.03817796811128	493.33324870164324	-97.56643415179133	-0.0016099737528239002	60003.952241443454	291.6563346702026	205.73512421492356	60002.78946242559	122.58873822727094	489.4641247647449	1.1627790178608848	1.9378373830812067e-05
