# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	3776.4018298921133	63.71583237516092	59.269441975685645	3707.17798781622	43.01225407757289	86.18887959534275	69.22384207589312	0.018330634607777094	2965.2920857747395	64.08092676424394	46.27417603812374	2891.5205874488465	33.79348735956024	85.56443307206736	73.77149832589294	0.02487832435792534
2	5039.952734375	69.58657489755136	72.4270844167148	4949.995867047991	46.69984063327698	105.99599056277646	89.9568673270087	0.01784875217449121	4053.539597284226	69.58026032949076	58.257034079623615	3957.3671578543526	38.182723024126865	103.64287416991645	96.17243942987352	0.02372554581539224
3	6733.883414713541	86.150167266553	78.16448450852758	6622.255013020834	53.816155436614544	123.05329058335694	111.62840169270748	0.016577121226779682	5591.940594773066	86.63397789485687	64.54673709615079	5471.740497116815	44.45894318999478	123.07401176256926	120.20009765625036	0.021495238659832074
4	9060.647644624256	97.50607812522946	92.92392657806873	8932.914755394346	63.54241508799326	140.58192064346443	127.73288922991014	0.014097545146863198	7791.1330333891365	98.79645651418024	78.86045014449356	7651.463681175595	55.26105026166291	138.4603377052311	139.66935221354106	0.017926706117708916
5	12370.062016369047	120.94366380390446	102.27953765668624	12209.916701543898	73.60563690410274	165.8829026566486	160.1453148251494	0.01294620145098969	11014.584375	122.63161633618505	89.8184718107635	10837.56871279762	66.08588696182044	163.9921806460549	177.01566220238055	0.016071025122305675
6	17215.145638020833	135.99336736955618	126.58812684032897	17054.323707217263	87.12655197073714	195.74197901169362	160.82193080356956	0.009341886161473027	15837.113820684524	136.54920743691605	115.98100141299659	15652.050855654761	80.70391015264396	193.9441450364717	185.0629650297633	0.011685397170541036
7	24626.00560825893	157.00149755620038	156.8520427612086	24469.104478236608	108.45700283331043	225.61110706556798	156.901130022321	0.006371359306833765	23321.945265997023	158.15637301351433	147.4613056788055	23129.364481026787	102.44875993078603	225.76519712540096	192.58078497023598	0.008257492364970743
8	36764.85519903274	209.683201675893	175.33524338234838	36720.42527901786	126.7241178244877	289.76666722490404	44.429920014881645	0.0012084889162313516	35638.185537574405	209.29430501078147	170.2778560350152	35539.27794828869	122.68732955435368	289.67357980144044	98.9075892857145	0.002775326178753777
9	59825.1548828125	302.1817178632996	197.97741341147614	59945.43629092262	187.5873647536046	319.5600960099885	-120.2814081101169	-0.0020105490465629067	58949.915987723216	302.3486992821202	194.97327465833519	58980.12838541667	185.60135920948994	317.77853694942644	-30.212397693452658	-0.0005125095971255434
10	60645.86627604167	317.30534811826396	191.1277784496659	60760.08895089286	181.11858002139016	335.4713190867391	-114.22267485118937	-0.001883437105692946	59988.829696800596	318.1576743681617	188.55062923103807	60011.39403831845	178.64447843086714	335.9263861129747	-22.56434151785652	-0.00037614238570585
