# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	1730.929068138486	39.7124994020747	43.586505362290474	1740.6129257928758	25.963037197259144	67.04196094502488	-9.68385765438984	-0.005594601091773372	1019.9909553164528	40.09627071457159	25.43854920018217	1028.0166429792132	14.836894817633643	69.2878567661891	-8.025687662760447	-0.007868391009673683
2	2578.3418300083704	50.71141514368701	50.84342100694353	2585.3141002836683	29.17356587188857	88.61837841958352	-6.972270275297888	-0.002704168312420876	1694.8021263485864	49.96385173927789	33.92056591618332	1699.0232270740328	18.945463578529555	89.67968611755141	-4.221100725446377	-0.0024906156652875133
3	3876.3488868350073	61.88932617907119	62.633561005643216	3885.241776529948	34.04391140703426	114.12442389704866	-8.89288969494055	-0.002294140686134547	2811.629436965216	60.54423073180189	46.439262717204855	2815.959388950893	24.713577537250153	113.94381832037341	-4.329951985676871	-0.0015400151701180382
4	5914.733809988839	78.97769260303195	74.89119541283955	5909.596178617931	44.486960979660736	132.8388374589079	5.137631370907911	0.0008686158221070655	4678.8442115420385	79.81470323141669	58.62133193649902	4666.12216796875	35.43559234917792	131.67896622100633	12.722043573288829	0.002719056886293707
5	9127.923446800596	95.90551984710513	95.17620530447621	9133.1349609375	57.37644453883192	159.17917246957097	-5.2115141369031335	-0.0005709419198437523	7758.558534458705	95.87466370363443	80.92397130530527	7751.187415132068	49.86609379702469	155.44003600287115	7.371119326637199	0.0009500629909408118
6	14315.088248697917	113.40384603450063	126.23106490006403	14315.578876023066	69.3632532654954	206.38563219099066	-0.49062732514903473	-3.427344048638063e-05	12896.65822405134	114.22737654017781	112.90339159207713	12876.236909412202	63.362622182547284	203.21502592357766	20.421314639137563	0.001583457844998426
7	22760.12865048363	171.3158874351718	132.8547456469638	22785.776515997022	88.03863534487122	258.81564868354616	-25.64786551339057	-0.0011268770008839813	21409.976836867558	171.94423525358448	124.51697962011919	21400.897446986608	83.46114499337187	256.4174916206359	9.079389880949748	0.00042407284931365353
8	36726.476488095235	237.27587808109786	154.7838608168277	36765.204817708334	131.62073412563717	279.32684817434995	-38.72832961309905	-0.0010545070836199793	35582.31665736607	238.66461231263386	149.0892022599301	35563.331854538694	125.61766783299653	283.1077225682829	18.98480282737728	0.000533546002925786
9	59951.16608072917	336.5547646637391	178.13197843337025	60039.48617931548	196.27538079672237	305.89412658685353	-88.32009858630772	-0.0014732006791557224	59102.49385230655	336.07766040236027	175.85963250740207	59094.94115513393	192.75630875917867	306.57850596716173	7.552697172621265	0.00012778982205886245
10	60634.94799107143	314.13193587404635	193.02382555393376	60721.503915550595	184.9578238671688	328.2991908423348	-86.5559244791657	-0.0014274923513072225	60017.01963355655	312.9914937604844	191.75287772991157	60006.22072172619	184.1384983500918	325.8754755762147	10.79891183035943	0.0001799308245609979
