# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	2172.0345145089286	56.29927777308818	38.580148812267545	2101.27025437128	53.516687774463975	39.26383230641419	70.76426013764876	0.03257971255288626	1950.5025233677454	56.722416201599685	34.38680250212503	1878.6885439918155	47.795886560034134	39.30649014391823	71.81397937592988	0.03681819352478231
2	2823.7231747581845	61.88642380710817	45.627506019080336	2724.291811988467	60.22587147507346	45.23457685649279	99.43136276971745	0.03521285785326052	2549.844278390067	62.78322197329762	40.613466436535276	2449.0339971633184	54.40020948998965	45.0188339369166	100.81028122674843	0.039535857966353345
3	3683.293612234933	72.44794463195991	50.8405535995023	3571.905033947173	64.47435686857715	55.40039804085291	111.38857828776008	0.030241569099394225	3365.5423496791295	72.70515690496968	46.29028383884942	3252.3528087797617	58.483995473387644	55.61098865517321	113.18954089936778	0.03363188726778591
4	4903.516810825893	79.70201743310136	61.52312035189958	4761.826664806547	75.93259360378738	62.71123425144056	141.69014601934578	0.028895617469185567	4547.101313709078	80.3979511554948	56.557427749802876	4402.986380440848	70.11474878254049	62.79686452413348	144.11493326822983	0.031693803002307654
5	6704.247731817336	91.44855740169498	73.31168388330502	6535.885585239956	79.61774307142484	82.09081711066128	168.36214657738037	0.02511275736103237	6312.806742931548	91.96115528835413	68.64644885263849	6141.105485026042	75.08867885890236	81.78470547558402	171.70125790550628	0.027198877598741678
6	9535.336097935267	115.67428658680146	82.43263372780773	9332.879234095983	95.31590570260762	97.9152342444841	202.45686383928478	0.02123227348883106	9121.09816545759	116.2273464012528	78.47635214838971	8913.856003534227	91.27762612837395	97.65652747144928	207.2421619233628	0.022721185340182755
7	14485.781140718005	147.73215231397253	98.05435657589034	14302.482545107887	110.33150963855564	129.63189384394906	183.29859561011835	0.012653690804073059	14068.540473865327	148.38107297918722	94.81357825090441	13877.98482607887	107.29298403108216	129.34661992491976	190.55564778645748	0.013544805741608133
8	24731.614755394345	181.3800782143474	136.3524318595097	24718.303878348215	136.07481925281058	181.65229991909519	13.310877046129463	0.0005382130191570349	24347.04716796875	181.79627224193058	133.92489773150146	24321.469266183034	133.7020839284219	181.90792956677967	25.577901785716676	0.0010505545748220036
9	58801.07863653274	308.5724832745225	190.55839980462605	58861.32009858631	210.69661802771824	279.36528193747654	-60.24146205357101	-0.0010244958672602203	58495.31771763393	308.24985486448264	189.76592136061348	58526.175539434524	209.0720112989317	279.9330966197749	-30.85782180059323	-0.0005275263560332944
10	60205.255859375	311.6640260072323	193.17358063640594	60235.14006696428	217.50424865710713	276.9377630039966	-29.884207589282596	-0.0004963720718849683	59991.13970424107	312.4889784298299	191.97841794510592	59990.85831473214	216.43499447005547	277.17725805672376	0.281389508927532	4.690517805042454e-06
