# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	4154.301453218006	67.98818309745828	61.103286835345855	4126.631683058966	27.565364477314752	149.70350515245417	27.669770159040127	0.006660510911553268	3715.859503464472	68.35147888365998	54.36399569041045	3686.210053362165	25.750337194723013	143.15191391426035	29.649450102306673	0.007979163387276372
2	5230.809613327753	77.01701678230596	67.91758278710023	5205.72373046875	30.511650288203395	170.6142958934417	25.085882859003505	0.004795793522112973	4703.620538039435	77.65570480781761	60.570186693687965	4676.02864234561	28.778256774145778	162.48477727624308	27.59189569382488	0.005866097290519475
3	6606.200681268601	85.4473129584654	77.3131471609853	6573.758287992931	34.429686772143796	190.93285197446514	32.44239327566993	0.0049109003557306335	6016.268367513021	86.33954550068518	69.681492213383	5980.620591517857	33.13125153262322	180.51296932230113	35.64777599516401	0.005925230361673499
4	8414.850279017857	102.73043159776975	81.91195294462815	8382.72976422991	36.62709552698864	228.8668987704227	32.12051478794638	0.003817122553925622	7779.365006510417	103.11910677984389	75.4405778855234	7743.099625651042	35.85021953873031	215.98471990627246	36.265380859375	0.004661740492832658
5	10892.94679827009	110.08037748915035	98.95448259471776	10855.655354817709	42.2234767983158	257.09998744704785	37.29144345238092	0.0034234485987118908	10233.865076264881	110.63504215646579	92.50111788082135	10191.120926339287	41.28028556626059	246.87622157993852	42.744149925594684	0.0041767357305432925
6	14478.076271856398	129.4784052248984	111.81846306114602	14436.574481491816	47.740911372823966	302.3941953841646	41.50179036458212	0.0028665265733719405	13822.799332682293	129.9295413676573	106.38688620910604	13773.932584635417	46.70296740243554	294.92628307633214	48.86674804687573	0.003535228058424922
7	20100.615048363095	149.25522878506496	134.67276967099755	20058.700051153275	56.16516954249789	357.13771033800003	41.914997209820285	0.0020852594365381697	19496.73732328869	150.06538897566847	129.9216125475134	19444.43400762649	54.4780961674853	356.9220544684104	52.303315662200475	0.0026826701716766016
8	30371.930631510415	196.57237082909876	154.50762741176868	30342.63062220982	62.55579543149534	485.0490735976324	29.300009300593956	0.000964706842514504	29871.949534970237	196.77462422749	151.80793586695128	29826.732593936013	61.75343519074362	482.9971401883537	45.216941034224874	0.0015136923347199248
9	59248.31301153274	312.77857338938344	189.42574093070465	59271.273056175596	78.38090584343024	756.1953057109714	-22.96004464285943	-0.0003875223356720762	58884.72728794643	312.88365507751826	188.20007479571757	58876.310621279765	77.59560364371687	758.7583298096702	8.416666666664241	0.00014293462930560459
10	60265.60378534226	304.80461986828794	197.71880036261987	60303.26476934524	86.18964684686082	699.6578704689471	-37.660984002977784	-0.0006249167292361493	59994.933203125	304.20771413901076	197.21700145877864	60000.62515811012	85.39251821777586	702.6449905727221	-5.691954985115444	-9.48739282006395e-05
