# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	8492.767173549108	189.8617286549181	44.731327549350816	8432.37644391741	70.09327287504163	120.30222156911091	60.39072963169747	0.007110842484860011	7765.874577985491	191.6822742400121	40.51430738066873	7699.143815104167	69.66918380029757	110.51003320454117	66.73076288132415	0.008592820063111871
2	10532.057221912202	217.0398649001814	48.525911250248846	10468.478773716517	72.90202288264625	143.5965472531278	63.57844819568527	0.006036659966431701	9671.922179594494	218.50410193243462	44.26425908738878	9600.44747953869	71.03266701410584	135.15538530507675	71.47470005580362	0.007389916784752323
3	13052.778043619792	238.14303308529622	54.810665147380774	12967.969463820684	86.46734590775243	149.97533840873922	84.80857979910797	0.006497358609461874	12123.842885044643	240.7648460946206	50.35553604150322	12029.13630952381	86.79645594622211	138.59017834756867	94.70657552083321	0.00781159706693811
4	16256.468431454614	291.1387555343934	55.83752805982635	16158.906163969494	94.8333951080528	170.3925726328589	97.56226748512017	0.006001442926948826	15294.96130719866	291.2479459868476	52.515258967317706	15184.912018694196	92.63530959526588	163.9214256965167	110.04928850446413	0.0071951335014276115
5	20392.84140625	304.269068383024	67.02239407582114	20295.984793526786	103.31861538925034	196.4407354576149	96.85661272321522	0.004749539840658526	19441.937234933037	307.6538188464948	63.19420089705981	19329.207761346726	103.18047679795677	187.3339643428503	112.72947358631063	0.005798263425301039
6	25876.951674107142	342.1294743108223	75.63496751115372	25784.66509951637	117.2746740567739	219.86558740750576	92.28657459077294	0.0035663619020132207	24983.964578683037	342.4352691054848	72.95967101737672	24871.280092075893	118.84277556519899	209.27885581426128	112.68448660714421	0.00451027242903192
7	33364.556715029765	411.87159947822636	81.00717980384464	33278.814276413694	136.80052419498577	243.2652540788545	85.74243861607101	0.002569865961307573	32583.053743489585	412.5943636887073	78.97115571862908	32470.708858816964	137.2439446386385	236.5911949289414	112.34488467262054	0.003447954435365597
8	44009.68810453869	507.5003029801483	86.71854547889836	43976.58356584822	149.76904555299214	293.62932375961606	33.10453869047342	0.0007522102545202853	43377.33191964286	508.64599631137	85.28000266238058	43308.81105840774	151.21926659944492	286.39744149219877	68.52086123511981	0.001579646746417131
9	60222.92648809524	621.8920960254143	96.83822462608396	60250.51849888393	185.48911031337835	324.8197071897777	-27.592010788692278	-0.00045816456286206246	59672.15190662202	623.8992713287948	95.64388780184166	59651.022786458336	186.20788060184992	320.3463923957347	21.129120163685002	0.0003540867806602468
10	60431.2650390625	636.8458428975739	94.8915121501105	60474.10744047619	194.8879853542807	310.3018758726569	-42.84240141369082	-0.0007089443086454948	60014.468991815476	638.224481793861	94.03347991780649	60008.31061197917	197.2683299462121	304.1963736821884	6.158379836306267	0.00010261491836487166
